Pin,Tin,Type,Bal,Cond_Filter_1,Cond_Filter_2,Date_Open,Snap_Date,Non_Format_Date
1,1,M1,250000,1,A,1/12/2014,1/12/2017,Jan-15
1,21,A1,20000,1,A,2/13/2014,2/13/2018,Feb-15
2,2,M1,400000,1,A,3/14/2014,3/14/2018,Mar-15
2,22,C1,5000,1,A,4/15/2014,4/10/2016,Apr-15
3,3,M1,200000,1,A,5/16/2014,5/11/2018,May-15
4,4,A1,30000,1,A,6/17/2014,6/17/2016,Jun-15
5,5,A1,10000,1,B,7/18/2014,7/18/2015,Jul-15
6,6,C1,1000,1,B,8/19/2014,8/19/2015,Aug-15
7,7,C1,2500,1,B,9/20/2014,9/20/2018,Sep-15
8,8,A1,15000,1,B,10/21/2014,10/21/2015,Oct-15
9,9,A1,25000,1,C,11/22/2014,1/1/2017,Nov-15
10,10,M1,220000,1,C,12/23/2014,1/2/2017,Dec-15
11,11,M1,400000,0,C,1/24/2014,12/24/2016,Jan-16
12,12,M1,120000,0,C,1/25/2014,12/25/2016,Feb-16
13,13,M1,180000,0,A,1/26/2014,11/22/2017,Mar-16
14,14,C1,1000,0,A,1/27/2014,12/23/2016,Apr-16
15,15,C1,1500,0,A,1/28/2014,12/28/2016,May-16
16,16,C1,3000,0,B,1/29/2014,12/29/2016,Jun-16
17,17,C1,4000,0,B,1/30/2014,12/30/2016,Jul-16
18,18,C1,8000,0,B,1/31/2014,12/31/2016,Aug-16
19,19,C1,2200,0,B,2/1/2014,12/30/2016,Sep-16
20,20,C1,500,0,B,2/2/2014,12/31/2016,Oct-16
